Fecha,Contagios,Muertos,Recuperados_tot,Tests,Recuperados,Tests_diario,Activos,Contagios_tot,Muertos_tot,Activos_tot,Contagios_MA,Recuperados_MA,Muertos_MA,Tests_diario_MA,cont_test
2020-07-24,5493,105,65447.0,609262.0,2632.0,16218.0,2756.0,153521,2808,85266.0,4888.428571428572,2238.1428571428573,89.85714285714286,12854.42857142857,33.86977432482427
2020-07-25,4814,86,68022.0,623893.0,2575.0,14631.0,2153.0,158335,2894,87419.0,5115.714285714285,2202.1428571428573,96.14285714285714,13162.857142857143,32.902740755929194
2020-07-26,4191,45,70518.0,636844.0,2496.0,12951.0,1650.0,162526,2939,89069.0,5098.285714285715,2344.714285714286,96.85714285714286,13658.0,32.360435487607134
2020-07-27,4890,120,72575.0,647714.0,2057.0,10870.0,2713.0,167416,3059,91782.0,5234.428571428572,2380.285714285714,97.85714285714286,13629.714285714286,44.98620055197792
2020-07-28,5939,120,75083.0,660112.0,2508.0,12398.0,3311.0,173355,3179,95093.0,5319.428571428572,2355.0,98.28571428571429,13799.857142857143,47.90288756251008
2020-07-29,5641,109,77855.0,675011.0,2772.0,14899.0,2760.0,178996,3288,97853.0,5299.285714285715,2474.8571428571427,99.85714285714286,13829.857142857143,37.86160144976173
2020-07-30,6377,153,80596.0,690823.0,2741.0,15812.0,3483.0,185373,3441,101336.0,5335.0,2540.1428571428573,105.42857142857143,13968.42857142857,40.33012901593726
2020-07-31,5929,101,83780.0,707508.0,3184.0,16685.0,2644.0,191302,3542,103980.0,5397.285714285715,2619.0,104.85714285714286,14035.142857142857,35.53491159724304
2020-08-01,5241,53,86499.0,722950.0,2719.0,15442.0,2469.0,196543,3595,106449.0,5458.285714285715,2639.5714285714284,100.14285714285714,14151.0,33.93990415749255
2020-08-02,5376,52,89026.0,736007.0,2527.0,13057.0,2797.0,201919,3647,109246.0,5627.571428571428,2644.0,101.14285714285714,14166.142857142857,41.17331699471548
2020-08-03,4824,164,91302.0,747907.0,2276.0,11900.0,2384.0,206743,3811,111630.0,5618.142857142857,2675.285714285714,107.42857142857143,14313.285714285714,40.53781512605042
2020-08-04,6792,168,94129.0,760746.0,2827.0,12839.0,3797.0,213535,3979,115427.0,5740.0,2720.8571428571427,114.28571428571429,14376.285714285714,52.90131630189268
2020-08-05,7147,127,96948.0,777278.0,2819.0,16532.0,4201.0,220682,4106,119628.0,5955.142857142857,2727.5714285714284,116.85714285714286,14609.57142857143,43.231308976530364
2020-08-06,7513,145,99852.0,794544.0,2904.0,17266.0,4464.0,228195,4251,124092.0,6117.428571428572,2750.8571428571427,115.71428571428571,14817.285714285714,43.51326306034982
2020-08-07,7482,160,103297.0,812564.0,3445.0,18020.0,3877.0,235677,4411,127969.0,6339.285714285715,2788.1428571428573,124.14285714285714,15008.0,41.52053274139845
2020-08-08,6134,112,108242.0,830057.0,4945.0,17493.0,1077.0,241811,4523,129046.0,6466.857142857143,3106.1428571428573,132.57142857142858,15301.0,35.0654547533299
2020-08-09,4688,82,170109.0,845220.0,61867.0,15163.0,-57261.0,246499,4605,71785.0,6368.571428571428,11583.285714285714,136.85714285714286,15601.857142857143,30.917364637604695
2020-08-10,7369,158,174954.0,856055.0,4845.0,10835.0,2366.0,253868,4763,74151.0,6732.142857142857,11950.285714285714,136.0,15449.714285714286,68.01107521919705
2020-08-11,7043,241,181389.0,872643.0,6435.0,16588.0,367.0,260911,5004,74518.0,6768.0,12465.714285714286,146.42857142857142,15985.285714285714,42.45840366530022
2020-08-12,7663,209,187283.0,891817.0,5894.0,19174.0,1560.0,268574,5213,76078.0,6841.714285714285,12905.0,158.14285714285714,16362.714285714286,39.9655783873996
2020-08-13,7498,149,192434.0,911596.0,5151.0,19779.0,2198.0,276072,5362,78276.0,6839.571428571428,13226.0,158.71428571428572,16721.714285714286,37.908893270640576
2020-08-14,6365,165,199005.0,930097.0,6571.0,18501.0,-371.0,282437,5527,77905.0,6680.0,13672.57142857143,159.42857142857142,16790.428571428572,34.403545754283556
2020-08-15,6663,110,205697.0,949170.0,6692.0,19073.0,-139.0,289100,5637,77766.0,6755.571428571428,13922.142857142857,159.14285714285714,17016.14285714286,34.934200178262465
2020-08-16,5469,66,211702.0,966926.0,6005.0,17756.0,-602.0,294569,5703,77164.0,6867.142857142857,5941.857142857143,156.85714285714286,17386.571428571428,30.800856048659607
2020-08-17,4557,111,217850.0,981459.0,6148.0,14533.0,-1702.0,299126,5814,75462.0,6465.428571428572,6128.0,150.14285714285714,17914.85714285714,31.35622376660015
2020-08-18,6840,233,223531.0,994942.0,5681.0,13483.0,926.0,305966,6047,76388.0,6436.428571428572,6020.285714285715,149.0,17471.285714285714,50.7305495809538
2020-08-19,6693,283,228725.0,1012979.0,5194.0,18037.0,1216.0,312659,6330,77604.0,6297.857142857143,5920.285714285715,159.57142857142858,17308.85714285714,37.10705771469757
2020-08-20,8225,186,233651.0,1030992.0,4926.0,18013.0,3113.0,320884,6516,80717.0,6401.714285714285,5888.142857142857,164.85714285714286,17056.571428571428,45.661466718481094
2020-08-21,8159,215,239806.0,1052687.0,6155.0,21695.0,1789.0,329043,6731,82506.0,6658.0,5828.714285714285,172.0,17512.85714285714,37.6077437197511
2020-08-22,7759,118,245781.0,1073719.0,5975.0,21032.0,1666.0,336802,6849,84172.0,6814.571428571428,5726.285714285715,173.14285714285714,17792.714285714286,36.89140357550399
2020-08-23,5352,135,251400.0,1092556.0,5619.0,18837.0,-402.0,342154,6984,83770.0,6797.857142857143,5671.142857142857,183.0,17947.14285714286,28.412167542602322
2020-08-24,8713,381,256789.0,1105878.0,5389.0,13322.0,2943.0,350867,7365,86713.0,7391.571428571428,5562.714285714285,221.57142857142858,17774.14285714286,65.40309262873443
2020-08-25,8771,198,263202.0,1127098.0,6413.0,21220.0,2160.0,359638,7563,88873.0,7667.428571428572,5667.285714285715,216.57142857142858,18879.428571428572,41.33364750235627
2020-08-26,10550,276,268801.0,1148574.0,5599.0,21476.0,4675.0,370188,7839,93548.0,8218.42857142857,5725.142857142857,215.57142857142858,19370.714285714286,49.12460420934997
2020-08-27,10104,210,274458.0,1172811.0,5657.0,24237.0,4237.0,380292,8049,97785.0,8486.857142857143,5829.571428571428,219.0,20259.85714285714,41.68832776333705
2020-08-28,11717,222,280165.0,1196878.0,5707.0,24067.0,5788.0,392009,8271,103573.0,8995.142857142857,5765.571428571428,220.0,20598.714285714286,48.68492126147837
2020-08-29,9230,82,287220.0,1222359.0,7055.0,25481.0,2093.0,401239,8353,105666.0,9205.285714285714,5919.857142857143,214.85714285714286,21234.285714285714,36.223068168439234
2020-08-30,7187,104,294007.0,1242269.0,6787.0,19910.0,296.0,408426,8457,105962.0,9467.42857142857,6086.714285714285,210.42857142857142,21387.571428571428,36.09743847312908
2020-08-31,9309,203,301195.0,1257906.0,7188.0,15637.0,1918.0,417735,8660,107880.0,9552.57142857143,6343.714285714285,185.0,21718.285714285714,59.531879516531305
2020-09-01,10504,259,308376.0,1277751.0,7181.0,19845.0,3064.0,428239,8919,110944.0,9800.142857142857,6453.428571428572,193.71428571428572,21521.85714285714,52.93020912068531
2020-09-02,10933,197,315530.0,1300866.0,7154.0,23115.0,3582.0,439172,9116,114526.0,9854.857142857143,6675.571428571428,182.42857142857142,21756.0,47.298291152931
2020-09-03,12026,245,322461.0,1324687.0,6931.0,23821.0,4850.0,451198,9361,119376.0,10129.42857142857,6857.571428571428,187.42857142857142,21696.571428571428,50.48486629444607
2020-09-04,10684,262,331621.0,1350038.0,9160.0,25351.0,1262.0,461882,9623,120638.0,9981.857142857143,7350.857142857143,193.14285714285714,21880.0,42.14429411068597
